Episodes,Success,Mean Reward,Mean Collision,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-101.799995,1.000000,0.999860,0.000000,0.000000
2.000000,0.000000,-100.449997,1.000000,0.999740,0.000000,0.000000
3.000000,0.000000,-101.033333,1.000000,0.999180,0.000000,0.000000
4.000000,0.000000,-101.150002,1.000000,0.999030,0.000000,0.000000
5.000000,0.000000,-102.919998,1.000000,0.998230,0.000000,496.924408
6.000000,0.000000,-102.299995,1.000000,0.998120,0.000000,496.349243
7.000000,0.000000,-102.271423,1.000000,0.998000,0.000000,528.577637
8.000000,0.000000,-101.962494,1.000000,0.997890,0.000000,533.772949
9.000000,0.000000,-102.688881,1.000000,0.997240,0.000000,607.380920
10.000000,0.000000,-102.759995,1.000000,0.997040,0.000000,613.437744
11.000000,0.000000,-102.509087,1.000000,0.996680,0.000000,595.353271
12.000000,0.000000,-102.241669,1.000000,0.996490,0.000000,588.434448
13.000000,0.000000,-102.015388,1.000000,0.996300,0.000000,583.399597
14.000000,0.000000,-101.878578,1.000000,0.996130,0.000000,597.857300
15.000000,0.000000,-102.240005,1.000000,0.995450,0.237366,579.759766
16.000000,0.000000,-102.531258,1.000000,0.993830,0.237366,451.714294
17.000000,0.000000,-102.500008,1.000000,0.993700,0.237366,450.282623
18.000000,0.000000,-102.450005,1.000000,0.993590,0.137677,435.529816
19.000000,0.000000,-102.489479,1.000000,0.993310,0.269081,440.917511
20.000000,0.000000,-102.395004,1.000000,0.992500,0.200608,452.100433
21.000000,0.000000,-102.399994,1.000000,0.992330,0.200608,464.922363
22.000000,0.000000,-102.277267,1.000000,0.992180,0.200608,468.557587
23.000000,0.000000,-102.147820,1.000000,0.991990,0.238013,459.782043
24.000000,0.000000,-102.087494,1.000000,0.991850,0.238013,458.161774
25.000000,0.000000,-102.111992,1.000000,0.991670,0.238013,478.718536
26.000000,0.000000,-102.107681,1.000000,0.991540,0.238013,495.638947
27.000000,0.000000,-102.174065,1.000000,0.991030,0.238013,510.704681
28.000000,0.000000,-102.074989,1.000000,0.990850,-0.250678,508.015900
29.000000,0.000000,-101.989647,1.000000,0.990480,-0.543070,477.448944
30.000000,0.000000,-101.919991,1.000000,0.990350,-0.543070,471.218811
31.000000,0.000000,-101.929016,1.000000,0.990210,-0.543070,479.761536
32.000000,0.000000,-102.096863,1.000000,0.989650,-0.543070,531.115967
33.000000,0.000000,-102.018173,1.000000,0.989540,-0.543070,541.364685
34.000000,0.000000,-102.055870,1.000000,0.989120,-0.543070,518.990540
35.000000,0.000000,-102.068565,1.000000,0.988920,-0.543070,481.046112
36.000000,0.000000,-102.166656,1.000000,0.988550,-0.543070,477.005402
37.000000,0.027027,-96.697289,0.972973,0.988530,-0.543070,472.763763
38.000000,0.026316,-96.871048,0.973684,0.988260,-0.543070,499.965668
39.000000,0.025641,-97.094872,0.974359,0.987710,-0.521016,520.797302
40.000000,0.025000,-97.117500,0.975000,0.987300,-0.521016,530.932983
41.000000,0.024390,-97.348785,0.975610,0.986730,-0.411193,507.277496
42.000000,0.023810,-97.523811,0.976190,0.986240,-0.617009,474.378448
43.000000,0.023256,-97.634880,0.976744,0.986080,-0.617009,449.517853
44.000000,0.022727,-97.731812,0.977273,0.985910,-0.617009,442.834656
45.000000,0.022222,-97.828888,0.977778,0.985670,-0.617009,451.574127
46.000000,0.043478,-93.526077,0.956522,0.985660,-0.617009,449.494171
47.000000,0.042553,-93.838295,0.957447,0.985100,-0.617009,451.348999
48.000000,0.041667,-93.931244,0.958333,0.984660,-0.448768,444.039917
49.000000,0.040816,-94.083664,0.959184,0.983900,-0.448768,458.192749
50.000000,0.040000,-94.419991,0.960000,0.982770,-0.315465,448.727203
51.000000,0.039216,-94.570580,0.960784,0.982560,-0.315465,439.407959
52.000000,0.038462,-94.730759,0.961538,0.982370,-0.379801,444.835541
53.000000,0.037736,-94.805656,0.962264,0.982210,-0.379801,420.339935
54.000000,0.037037,-94.887032,0.962963,0.982070,-0.379801,428.863739
55.000000,0.036364,-95.023636,0.963636,0.981830,-0.379801,439.557159
56.000000,0.035714,-95.174995,0.964286,0.981580,-0.379801,426.428802
57.000000,0.035088,-95.264908,0.964912,0.980890,-0.390444,432.019257
58.000000,0.034483,-95.334473,0.965517,0.980700,-0.390444,446.565155
59.000000,0.033898,-95.488121,0.966102,0.980330,-0.295625,421.797180
60.000000,0.033333,-95.561653,0.966667,0.979660,-0.233463,417.488892
61.000000,0.032787,-95.622932,0.967213,0.979560,-0.233463,409.757507
62.000000,0.032258,-95.829018,0.967742,0.978810,-0.625083,391.755463
63.000000,0.031746,-95.893631,0.968254,0.978590,-0.940156,388.725983
64.000000,0.031250,-95.939041,0.968750,0.978440,-0.940156,404.976471
65.000000,0.030769,-96.067665,0.969231,0.977610,-1.305808,380.573792
66.000000,0.030303,-96.131790,0.969697,0.977460,-1.648347,367.512299
67.000000,0.029851,-96.214905,0.970149,0.977360,-1.966704,351.537811
68.000000,0.029412,-96.261742,0.970588,0.976640,-1.851956,362.411896
69.000000,0.028986,-96.323166,0.971014,0.976420,-1.851956,361.023621
70.000000,0.028571,-96.487114,0.971429,0.975340,-1.775511,388.655731
71.000000,0.028169,-96.671806,0.971831,0.974470,-1.770870,335.655975
72.000000,0.027778,-96.843033,0.972222,0.973660,-1.675217,334.192078
73.000000,0.027397,-96.926003,0.972603,0.973410,-1.984670,326.933655
74.000000,0.027027,-96.999977,0.972973,0.973200,-2.010941,335.221802
75.000000,0.026667,-97.046638,0.973333,0.972920,-2.010941,350.274353
76.000000,0.026316,-97.107872,0.973684,0.972760,-2.010941,354.394409
77.000000,0.025974,-97.236343,0.974026,0.972050,-2.037364,310.383789
78.000000,0.025641,-97.312798,0.974359,0.971830,-2.047779,304.202972
79.000000,0.025316,-97.340485,0.974684,0.971720,-2.047779,294.776215
80.000000,0.025000,-97.432480,0.975000,0.971350,-2.049490,316.440125
81.000000,0.024691,-97.518501,0.975309,0.971010,-2.049490,333.425201
82.000000,0.024390,-97.590225,0.975610,0.970750,-2.040908,342.370483
83.000000,0.036145,-95.190338,0.963855,0.970170,-2.040908,332.706268
84.000000,0.035714,-95.244034,0.964286,0.969660,-1.953404,322.223236
85.000000,0.035294,-95.318810,0.964706,0.969550,-1.953404,316.019226
86.000000,0.034884,-95.481377,0.965116,0.967510,-1.655041,290.286102
87.000000,0.034483,-95.555161,0.965517,0.967370,-1.696506,307.205719
88.000000,0.034091,-95.623848,0.965909,0.967260,-1.961730,300.118958
89.000000,0.044944,-93.420204,0.955056,0.966880,-1.798149,304.670410
90.000000,0.044444,-93.527756,0.955556,0.966620,-1.820606,306.036224
91.000000,0.043956,-93.631844,0.956044,0.966350,-1.782151,286.380585
92.000000,0.043478,-93.722801,0.956522,0.966040,-1.782574,282.341675
93.000000,0.043011,-93.889229,0.956989,0.965310,-2.067254,292.649139
94.000000,0.042553,-93.979774,0.957447,0.965130,-2.067254,294.441895
95.000000,0.042105,-94.059982,0.957895,0.965020,-2.067254,304.459351
96.000000,0.041667,-94.197899,0.958333,0.964460,-2.074518,288.399902
97.000000,0.041237,-94.287613,0.958763,0.963910,-2.056326,320.453033
98.000000,0.040816,-94.446930,0.959184,0.963280,-2.052509,309.268219
99.000000,0.040404,-94.526245,0.959596,0.963090,-2.031937,295.312195
100.000000,0.040000,-94.676979,0.960000,0.961800,-1.884588,284.708313
101.000000,0.040000,-94.681992,0.960000,0.961640,-1.884588,280.872955
102.000000,0.040000,-94.692986,0.960000,0.961510,-1.884588,284.398193
