Episodes,Success,Mean Reward,Mean Collision,Epsilon,Mean Value,Mean Loss
4944.000000,0.910000,86.682014,0.090000,0.020000,66.152832,142.807495
4945.000000,0.910000,86.666016,0.090000,0.020000,73.343292,134.347397
4946.000000,0.910000,86.558006,0.090000,0.020000,59.152840,135.400421
4947.000000,0.920000,88.629997,0.080000,0.020000,68.939041,120.689774
4948.000000,0.920000,88.635994,0.080000,0.020000,57.287224,122.570465
4949.000000,0.920000,88.651993,0.080000,0.020000,79.258446,120.235413
4950.000000,0.920000,88.611992,0.080000,0.020000,67.870514,107.634567
4951.000000,0.920000,88.620995,0.080000,0.020000,66.571655,127.321442
4952.000000,0.920000,88.584999,0.080000,0.020000,72.857391,141.708755
4953.000000,0.920000,88.620995,0.080000,0.020000,71.010551,118.689278
4954.000000,0.920000,88.671989,0.080000,0.020000,58.368938,109.971786
4955.000000,0.920000,88.723000,0.080000,0.020000,57.687313,130.036224
4956.000000,0.910000,86.627014,0.090000,0.020000,38.346867,121.065491
4957.000000,0.910000,86.582008,0.090000,0.020000,48.467190,116.005081
4958.000000,0.910000,86.532013,0.090000,0.020000,51.960110,124.408127
4959.000000,0.910000,86.521019,0.090000,0.020000,72.002571,125.057243
4960.000000,0.920000,88.619003,0.080000,0.020000,78.073250,122.680214
4961.000000,0.920000,88.629005,0.080000,0.020000,81.304962,122.077682
4962.000000,0.910000,86.621002,0.090000,0.020000,75.658783,122.612480
4963.000000,0.910000,86.575012,0.090000,0.020000,75.346703,120.553574
4964.000000,0.910000,87.419006,0.090000,0.020000,30.843048,120.418739
4965.000000,0.910000,87.349998,0.090000,0.020000,63.704475,94.195320
4966.000000,0.910000,87.169006,0.090000,0.020000,53.615040,77.541000
4967.000000,0.910000,87.227005,0.090000,0.020000,69.572823,92.737762
4968.000000,0.910000,87.208008,0.090000,0.020000,61.648865,104.966347
4969.000000,0.910000,87.205009,0.090000,0.020000,71.250000,97.840332
4970.000000,0.910000,87.204002,0.090000,0.020000,81.535896,91.622116
4971.000000,0.900000,85.188011,0.100000,0.020000,65.986870,103.241455
4972.000000,0.900000,85.203011,0.100000,0.020000,73.714195,92.100647
4973.000000,0.900000,85.181007,0.100000,0.020000,85.020706,87.402122
4974.000000,0.900000,85.123009,0.100000,0.020000,60.546726,89.457710
