Episodes,Success,Mean Reward,Mean Collision,Epsilon,Mean Value,Mean Loss
2587.000000,0.890000,81.319000,0.110000,0.020000,68.662224,121.610413
2588.000000,0.890000,81.332001,0.110000,0.020000,43.878136,117.820885
2589.000000,0.890000,81.349998,0.110000,0.020000,60.709118,126.589012
2590.000000,0.890000,81.324997,0.110000,0.020000,61.284821,124.354218
2591.000000,0.900000,83.359993,0.100000,0.020000,72.520378,124.090988
2592.000000,0.900000,83.363991,0.100000,0.020000,68.582443,113.348175
2593.000000,0.900000,83.381989,0.100000,0.020000,74.138062,100.496658
2594.000000,0.890000,81.342003,0.110000,0.020000,60.842999,119.835091
2595.000000,0.890000,81.358002,0.110000,0.020000,63.729527,124.038231
2596.000000,0.890000,81.379005,0.110000,0.020000,70.467880,123.330193
2597.000000,0.890000,81.347008,0.110000,0.020000,53.656269,128.871857
2598.000000,0.890000,81.349007,0.110000,0.020000,65.336555,139.159317
2599.000000,0.890000,81.319008,0.110000,0.020000,76.645027,136.816681
2600.000000,0.890000,81.322006,0.110000,0.020000,53.019390,132.380692
2601.000000,0.890000,81.361008,0.110000,0.020000,64.639389,138.021774
2602.000000,0.890000,81.415009,0.110000,0.020000,65.298271,121.003540
2603.000000,0.890000,81.434006,0.110000,0.020000,63.701271,128.865753
2604.000000,0.880000,79.428009,0.120000,0.020000,43.317135,115.881775
2605.000000,0.880000,79.435013,0.120000,0.020000,54.057957,134.944000
2606.000000,0.880000,79.492012,0.120000,0.020000,63.781738,130.248978
2607.000000,0.880000,79.455009,0.120000,0.020000,64.500923,127.743004
2608.000000,0.880000,79.491013,0.120000,0.020000,78.114601,123.369286
2609.000000,0.880000,79.420013,0.120000,0.020000,47.577728,128.874207
2610.000000,0.880000,79.397011,0.120000,0.020000,56.644844,129.676926
2611.000000,0.890000,81.369003,0.110000,0.020000,70.846596,154.773224
2612.000000,0.900000,83.499001,0.100000,0.020000,69.321564,140.180832
2613.000000,0.910000,85.521004,0.090000,0.020000,67.572418,113.867439
2614.000000,0.910000,85.502014,0.090000,0.020000,70.216621,119.676788
2615.000000,0.910000,85.495010,0.090000,0.020000,74.548782,130.236877
2616.000000,0.910000,85.528008,0.090000,0.020000,45.132866,131.047287
2617.000000,0.910000,85.487015,0.090000,0.020000,53.922508,135.099640
2618.000000,0.910000,85.510010,0.090000,0.020000,69.623619,109.543190
2619.000000,0.910000,85.591003,0.090000,0.020000,54.074425,120.980667
2620.000000,0.910000,85.589012,0.090000,0.020000,44.583851,138.796600
2621.000000,0.910000,85.638008,0.090000,0.020000,57.731937,138.688705
2622.000000,0.910000,85.620010,0.090000,0.020000,67.034271,108.574829
2623.000000,0.910000,85.639015,0.090000,0.020000,51.612598,129.821777
2624.000000,0.900000,83.586014,0.100000,0.020000,51.036327,143.336243
2625.000000,0.900000,83.566017,0.100000,0.020000,55.783226,126.123810
2626.000000,0.890000,81.625008,0.110000,0.020000,23.988916,114.496040
2627.000000,0.890000,81.610008,0.110000,0.020000,50.214760,114.476532
2628.000000,0.880000,79.618011,0.120000,0.020000,44.183975,127.607307
2629.000000,0.880000,79.587006,0.120000,0.020000,49.592373,134.587784
2630.000000,0.880000,79.551010,0.120000,0.020000,56.718563,129.868439
2631.000000,0.890000,81.575005,0.110000,0.020000,66.264816,90.528671
2632.000000,0.890000,81.626007,0.110000,0.020000,56.190586,121.302765
2633.000000,0.890000,81.648003,0.110000,0.020000,68.379494,117.112549
2634.000000,0.890000,81.657005,0.110000,0.020000,65.767395,109.792007
2635.000000,0.890000,81.713005,0.110000,0.020000,55.976208,125.251236
2636.000000,0.880000,79.683006,0.120000,0.020000,31.460892,112.209480
2637.000000,0.880000,79.684006,0.120000,0.020000,54.638695,106.060463
2638.000000,0.880000,79.645004,0.120000,0.020000,61.752346,103.412163
2639.000000,0.880000,79.619003,0.120000,0.020000,79.611526,95.241920
2640.000000,0.870000,77.616005,0.130000,0.020000,42.776474,117.238182
2641.000000,0.870000,77.608009,0.130000,0.020000,55.366589,118.853058
2642.000000,0.870000,77.592010,0.130000,0.020000,53.829723,124.860046
2643.000000,0.870000,77.605011,0.130000,0.020000,64.248863,129.362915
2644.000000,0.870000,77.629005,0.130000,0.020000,70.826874,99.495354
2645.000000,0.870000,77.644012,0.130000,0.020000,72.583420,97.233261
2646.000000,0.860000,75.625008,0.140000,0.020000,55.750957,124.916878
2647.000000,0.850000,74.409012,0.150000,0.020000,21.192204,128.033356
2648.000000,0.850000,74.441010,0.150000,0.020000,51.951283,127.860405
2649.000000,0.850000,74.470009,0.150000,0.020000,54.072777,140.610519
2650.000000,0.850000,74.458015,0.150000,0.020000,69.372543,138.795486
2651.000000,0.850000,74.483009,0.150000,0.020000,60.940540,130.683121
2652.000000,0.860000,76.461014,0.140000,0.020000,45.432884,115.293083
2653.000000,0.860000,76.577011,0.140000,0.020000,54.083004,118.003555
2654.000000,0.860000,76.480011,0.140000,0.020000,65.788437,120.195198
2655.000000,0.860000,76.477013,0.140000,0.020000,53.595585,109.598984
2656.000000,0.850000,74.450012,0.150000,0.020000,62.974121,109.434639
2657.000000,0.840000,72.434021,0.160000,0.020000,60.500130,113.423119
2658.000000,0.840000,72.411018,0.160000,0.020000,51.143211,104.142387
2659.000000,0.840000,72.422020,0.160000,0.020000,50.888668,97.866356
2660.000000,0.830000,71.234016,0.170000,0.020000,29.977417,103.578583
2661.000000,0.830000,71.205017,0.170000,0.020000,50.279030,112.582306
2662.000000,0.830000,71.202019,0.170000,0.020000,73.698097,112.823135
2663.000000,0.830000,71.157013,0.170000,0.020000,83.209709,128.594894
2664.000000,0.830000,71.201019,0.170000,0.020000,71.275009,113.300789
2665.000000,0.830000,71.185013,0.170000,0.020000,62.148716,111.481644
2666.000000,0.820000,69.219017,0.180000,0.020000,52.596424,97.530319
