Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
5964.000000,0.820000,67.055008,0.170000,0.310000,0.020000,45.453876,122.973534
5965.000000,0.820000,67.039017,0.170000,0.320000,0.020000,39.544716,99.673958
5966.000000,0.820000,67.119011,0.170000,0.330000,0.020000,59.669376,124.966888
5967.000000,0.810000,65.154015,0.180000,0.330000,0.020000,60.355839,151.828751
5968.000000,0.810000,65.226013,0.180000,0.320000,0.020000,50.232929,121.908043
5969.000000,0.800000,63.243011,0.190000,0.320000,0.020000,48.569942,131.258316
5970.000000,0.800000,63.274014,0.190000,0.320000,0.020000,57.137123,139.924118
5971.000000,0.790000,61.287010,0.200000,0.320000,0.020000,62.081455,121.862122
5972.000000,0.790000,61.316006,0.200000,0.320000,0.020000,51.960457,78.617943
5973.000000,0.800000,63.299015,0.190000,0.330000,0.020000,62.170509,78.467674
5974.000000,0.800000,63.370014,0.190000,0.320000,0.020000,60.758427,88.043289
5975.000000,0.800000,63.359013,0.190000,0.320000,0.020000,61.211281,82.500557
5976.000000,0.800000,63.356010,0.190000,0.320000,0.020000,66.739937,97.286903
5977.000000,0.800000,63.362011,0.190000,0.310000,0.020000,63.231968,123.742470
5978.000000,0.800000,63.387012,0.190000,0.310000,0.020000,66.589989,147.102142
5979.000000,0.800000,63.405014,0.190000,0.310000,0.020000,73.904549,140.713516
5980.000000,0.790000,61.375015,0.200000,0.310000,0.020000,66.528984,163.455872
5981.000000,0.800000,62.558018,0.200000,0.240000,0.020000,70.778465,123.246254
5982.000000,0.800000,62.590019,0.200000,0.240000,0.020000,71.650482,79.432617
5983.000000,0.790000,60.514023,0.210000,0.240000,0.020000,47.442551,105.629974
5984.000000,0.790000,60.518021,0.210000,0.240000,0.020000,50.342789,65.027679
5985.000000,0.790000,60.547028,0.210000,0.230000,0.020000,59.655148,127.271240
5986.000000,0.780000,58.558029,0.220000,0.220000,0.020000,58.215633,127.636032
5987.000000,0.780000,58.600025,0.220000,0.220000,0.020000,65.785225,70.979286
5988.000000,0.780000,58.688023,0.220000,0.220000,0.020000,57.537369,75.156776
5989.000000,0.770000,56.663021,0.230000,0.220000,0.020000,52.662834,136.200180
5990.000000,0.770000,56.666019,0.230000,0.220000,0.020000,49.550900,133.687973
5991.000000,0.770000,56.699024,0.230000,0.210000,0.020000,52.418308,158.243301
5992.000000,0.770000,56.712021,0.230000,0.210000,0.020000,76.585892,129.040314
5993.000000,0.770000,56.713024,0.230000,0.200000,0.020000,77.713097,116.267548
5994.000000,0.760000,54.707020,0.240000,0.200000,0.020000,76.106422,110.566582
5995.000000,0.760000,54.682022,0.240000,0.210000,0.020000,47.015068,95.767830
5996.000000,0.770000,56.701019,0.230000,0.210000,0.020000,55.358772,118.166679
5997.000000,0.780000,58.753017,0.220000,0.210000,0.020000,53.717136,97.056252
5998.000000,0.780000,58.798019,0.220000,0.200000,0.020000,56.112648,81.455383
5999.000000,0.770000,56.781017,0.230000,0.200000,0.020000,65.630257,101.678833
6000.000000,0.770000,56.806015,0.230000,0.200000,0.020000,66.261070,113.008141
6001.000000,0.780000,58.777012,0.220000,0.200000,0.020000,75.013824,122.661255
6002.000000,0.780000,58.768013,0.220000,0.200000,0.020000,72.741722,98.278931
6003.000000,0.780000,58.735016,0.220000,0.200000,0.020000,80.579491,104.236336
6004.000000,0.780000,58.679012,0.220000,0.200000,0.020000,47.778992,119.550636
6005.000000,0.790000,60.709007,0.210000,0.210000,0.020000,70.463440,91.539154
6006.000000,0.790000,60.760010,0.210000,0.200000,0.020000,67.510590,149.187866
6007.000000,0.790000,60.760010,0.210000,0.200000,0.020000,43.618504,162.842697
6008.000000,0.790000,60.803009,0.210000,0.200000,0.020000,57.513607,92.495659
6009.000000,0.790000,60.840012,0.210000,0.200000,0.020000,60.825203,90.636566
6010.000000,0.790000,60.839008,0.210000,0.200000,0.020000,59.100685,101.022354
6011.000000,0.790000,60.785011,0.210000,0.200000,0.020000,47.719692,100.268738
6012.000000,0.790000,60.754009,0.210000,0.200000,0.020000,73.515900,124.223160
6013.000000,0.790000,60.785011,0.210000,0.200000,0.020000,57.695354,117.602791
6014.000000,0.780000,58.741013,0.220000,0.200000,0.020000,57.380856,113.408844
6015.000000,0.780000,58.710011,0.220000,0.200000,0.020000,65.981895,110.289978
6016.000000,0.780000,58.668007,0.220000,0.190000,0.020000,72.696098,114.593460
6017.000000,0.780000,58.684010,0.220000,0.190000,0.020000,70.398331,135.526077
6018.000000,0.770000,56.691010,0.230000,0.190000,0.020000,73.310013,135.418549
6019.000000,0.780000,58.709007,0.220000,0.180000,0.020000,72.624428,136.706833
6020.000000,0.780000,58.755009,0.220000,0.180000,0.020000,70.131599,110.406860
6021.000000,0.780000,58.718006,0.220000,0.180000,0.020000,72.831642,92.997314
6022.000000,0.790000,60.718006,0.210000,0.170000,0.020000,75.190559,98.168297
6023.000000,0.800000,62.733009,0.200000,0.170000,0.020000,74.166359,91.468979
6024.000000,0.790000,60.705009,0.210000,0.170000,0.020000,74.593338,87.842987
6025.000000,0.790000,60.771011,0.210000,0.160000,0.020000,59.650696,121.413788
